month,CO2ppm,Temp,Humid,VPD,Chl_a,Chl_b,TChl,Car,Chl_a_b,TCh-Car,ABS-RC,Dio-RC,Tro-RC,Eto-RC,PI_abs,DF_abs,SFI_abs,Fv-Fm,Leaf_ExtractionYield,Root_ExtractionYield,Leaf_TPC,Root_TPC,Leaf_TFC,Root_TFC
5,409.8255146,16.9311974,81.1826901,1.536848738,8.79,2.22,11,2.97,3.97,3.7,1.57,0.267,1.303,0.53,2.128,0.328,0.215,0.83,20.1,19.6,7.369,6.396,5.257,0.836
5,394.0764219,16.92702222,80.8870983,1.536983557,8.99,2.56,11.55,3.09,3.52,3.74,1.701,0.297,1.405,0.576,1.935,0.287,0.199,0.826,20.7,20.4,7.369,6.396,5.242,0.841
5,378.0114872,16.9238825,80.51242021,1.537339631,9.66,2.44,12.1,3.11,3.96,3.89,1.637,0.282,1.355,0.613,2.421,0.384,0.229,0.828,19,18.9,7.476,6.27,5.217,0.861
5,377.5797899,16.91747785,83.6889566,1.531478901,9.33,2.45,11.79,3.13,3.8,3.77,1.341,0.217,1.124,0.507,3.187,0.503,0.282,0.839,20.1,19.6,7.369,6.396,5.257,0.836
5,373.9356809,18.73214115,81.81396563,1.697795917,10.53,2.58,13.11,3.37,4.08,3.9,1.629,0.273,1.355,0.539,2.012,0.304,0.203,0.832,20.7,20.4,7.369,6.396,5.242,0.841
6,375.7977674,21.55098465,75.72042677,1.99461526,5.49,1.79,7.28,1.91,3.07,3.81,1.243,0.206,1.037,0.448,3.085,0.489,0.29,0.834,17.4,11.8,8.508,5.04,7.248,0.639
6,381.5708358,21.5443601,75.31889007,1.994764259,6.55,1.77,8.32,2.44,3.7,3.41,1.363,0.219,1.144,0.553,3.597,0.556,0.298,0.84,19.4,12.9,8.205,5.056,7.238,0.659
6,385.9439573,21.54552167,75.07555642,1.995415018,5.7,1.65,7.34,2.59,3.46,2.84,1.297,0.207,1.09,0.499,3.428,0.535,0.297,0.84,18.6,12.6,8.526,5.088,7.142,0.654
6,380.572758,21.55580406,77.08322601,1.99219546,7.42,1.82,9.24,2.63,4.07,3.51,1.299,0.209,1.089,0.535,3.868,0.588,0.317,0.839,17.4,11.8,8.508,5.04,7.248,0.639
6,366.5699021,21.54575681,75.58873691,1.994333351,5.82,1.89,7.7,2.13,3.08,3.61,1.238,0.205,1.033,0.509,3.963,0.598,0.332,0.834,19.4,12.9,8.205,5.056,7.238,0.659
6,382.8285517,21.54936767,74.47179878,1.997134504,5.49,1.79,7.28,1.91,3.07,3.81,1.243,0.206,1.037,0.448,3.085,0.489,0.29,0.834,18.6,12.6,8.526,5.088,7.142,0.654
6,377.1025747,21.54983861,76.96858424,1.991797783,6.55,1.77,8.32,2.44,3.7,3.41,1.363,0.219,1.144,0.553,3.597,0.556,0.298,0.84,17.4,11.8,8.508,5.04,7.248,0.639
6,380.578409,21.54773517,77.00191052,1.991498441,5.7,1.65,7.34,2.59,3.46,2.84,1.297,0.207,1.09,0.499,3.428,0.535,0.297,0.84,19.4,12.9,8.205,5.056,7.238,0.659
6,374.3180795,21.55032563,78.3962,1.988769729,7.42,1.82,9.24,2.63,4.07,3.51,1.299,0.209,1.089,0.535,3.868,0.588,0.317,0.839,18.6,12.6,8.526,5.088,7.142,0.654
6,376.8105941,21.55159701,78.9585624,1.98769337,5.82,1.89,7.7,2.13,3.08,3.61,1.238,0.205,1.033,0.509,3.963,0.598,0.332,0.834,17.4,11.8,8.508,5.04,7.248,0.639
6,349.3081583,21.54666764,77.74760917,1.989774169,5.49,1.79,7.28,1.91,3.07,3.81,1.243,0.206,1.037,0.448,3.085,0.489,0.29,0.834,19.4,12.9,8.205,5.056,7.238,0.659
6,360.4420611,21.5464325,78.65163642,1.987798341,6.55,1.77,8.32,2.44,3.7,3.41,1.363,0.219,1.144,0.553,3.597,0.556,0.298,0.84,18.6,12.6,8.526,5.088,7.142,0.654
6,353.9603931,21.52341917,77.71219472,1.987340486,5.7,1.65,7.34,2.59,3.46,2.84,1.297,0.207,1.09,0.499,3.428,0.535,0.297,0.84,17.4,11.8,8.508,5.04,7.248,0.639
6,366.2986441,21.54976028,74.21317538,1.997735149,7.42,1.82,9.24,2.63,4.07,3.51,1.299,0.209,1.089,0.535,3.868,0.588,0.317,0.839,19.4,12.9,8.205,5.056,7.238,0.659
6,375.3547712,21.55621215,74.56504444,1.997675428,5.82,1.89,7.7,2.13,3.08,3.61,1.238,0.205,1.033,0.509,3.963,0.598,0.332,0.834,18.6,12.6,8.526,5.088,7.142,0.654
6,364.2541434,21.55530142,71.61838844,2.003937103,5.49,1.79,7.28,1.91,3.07,3.81,1.243,0.206,1.037,0.448,3.085,0.489,0.29,0.834,17.4,11.8,8.508,5.04,7.248,0.639
6,361.2847278,21.57158063,71.8680167,2.005169431,6.55,1.77,8.32,2.44,3.7,3.41,1.363,0.219,1.144,0.553,3.597,0.556,0.298,0.84,19.4,12.9,8.205,5.056,7.238,0.659
6,378.9225972,21.54880271,73.90596767,1.998294182,5.7,1.65,7.34,2.59,3.46,2.84,1.297,0.207,1.09,0.499,3.428,0.535,0.297,0.84,18.6,12.6,8.526,5.088,7.142,0.654
6,396.7350181,21.54826875,70.87176431,2.004783168,7.42,1.82,9.24,2.63,4.07,3.51,1.299,0.209,1.089,0.535,3.868,0.588,0.317,0.839,17.4,11.8,8.508,5.04,7.248,0.639
6,346.406242,21.54713851,71.82431396,2.002604965,5.82,1.89,7.7,2.13,3.08,3.61,1.238,0.205,1.033,0.509,3.963,0.598,0.332,0.834,19.4,12.9,8.205,5.056,7.238,0.659
6,355.3327059,21.55133024,78.83211563,1.987937464,5.49,1.79,7.28,1.91,3.07,3.81,1.243,0.206,1.037,0.448,3.085,0.489,0.29,0.834,18.6,12.6,8.526,5.088,7.142,0.654
6,372.7247406,21.54848892,78.66786833,1.987985249,6.55,1.77,8.32,2.44,3.7,3.41,1.363,0.219,1.144,0.553,3.597,0.556,0.298,0.84,17.4,11.8,8.508,5.04,7.248,0.639
6,362.9295569,21.55123594,74.9381367,1.996330691,5.7,1.65,7.34,2.59,3.46,2.84,1.297,0.207,1.09,0.499,3.428,0.535,0.297,0.84,19.4,12.9,8.205,5.056,7.238,0.659
6,391.0081017,21.54633778,76.85256045,1.991669584,7.42,1.82,9.24,2.63,4.07,3.51,1.299,0.209,1.089,0.535,3.868,0.588,0.317,0.839,18.6,12.6,8.526,5.088,7.142,0.654
6,345.1077083,21.55272719,75.2872433,1.995738862,5.82,1.89,7.7,2.13,3.08,3.61,1.238,0.205,1.033,0.509,3.963,0.598,0.332,0.834,17.4,11.8,8.508,5.04,7.248,0.639
6,375.5952649,21.54877125,76.4235367,1.992858454,5.49,1.79,7.28,1.91,3.07,3.81,1.243,0.206,1.037,0.448,3.085,0.489,0.29,0.834,19.4,12.9,8.205,5.056,7.238,0.659
6,418.1532538,21.549195,73.13483878,2.000000691,6.55,1.77,8.32,2.44,3.7,3.41,1.363,0.219,1.144,0.553,3.597,0.556,0.298,0.84,18.6,12.6,8.526,5.088,7.142,0.654
6,413.5930104,22.33766976,74.26714521,2.084681294,5.7,1.65,7.34,2.59,3.46,2.84,1.297,0.207,1.09,0.499,3.428,0.535,0.297,0.84,17.4,11.8,8.508,5.04,7.248,0.639
6,378.2645344,24.61309882,67.64871483,2.37185608,7.42,1.82,9.24,2.63,4.07,3.51,1.299,0.209,1.089,0.535,3.868,0.588,0.317,0.839,19.4,12.9,8.205,5.056,7.238,0.659
6,364.6657444,24.61448028,65.91613583,2.376438248,5.82,1.89,7.7,2.13,3.08,3.61,1.238,0.205,1.033,0.509,3.963,0.598,0.332,0.834,18.6,12.6,8.526,5.088,7.142,0.654
7,382.245526,24.60871875,67.63543451,2.371337457,5.53,1.78,7.3,2.04,3.11,3.59,1.817,0.31,1.508,0.664,2.11,0.324,0.201,0.83,14.9,11.6,7.992,5.104,7.132,0.548
7,439.6958198,24.60036771,63.86934698,2.379858808,5.44,1.61,7.05,2.08,3.37,3.39,1.841,0.31,1.53,0.67,2.087,0.32,0.198,0.831,17.5,12.7,7.814,5.214,6.509,0.558
7,366.3438507,24.60663073,66.86768073,2.373026616,7.36,1.82,9.18,2.41,4.03,3.81,1.644,0.287,1.357,0.652,2.659,0.425,0.241,0.825,17.1,13.1,8.01,5.119,7.278,0.573
7,352.454334,24.60879719,63.54253247,2.38175711,6.41,1.67,8.08,2.16,3.85,3.74,1.584,0.268,1.316,0.666,3.182,0.503,0.265,0.831,14.9,11.6,7.992,5.104,7.132,0.548
7,440.9274795,24.59463795,62.42757184,2.382797921,7.28,2.07,9.35,2.62,3.51,3.57,1.728,0.309,1.419,0.614,2.024,0.306,0.206,0.821,17.5,12.7,7.814,5.214,6.509,0.558
7,380.1077847,24.61168559,62.83731903,2.383916872,5.53,1.78,7.3,2.04,3.11,3.59,1.817,0.31,1.508,0.664,2.11,0.324,0.201,0.83,17.1,13.1,8.01,5.119,7.278,0.573
7,372.8572323,24.61399368,66.30178622,2.375395634,5.44,1.61,7.05,2.08,3.37,3.39,1.841,0.31,1.53,0.67,2.087,0.32,0.198,0.831,14.9,11.6,7.992,5.104,7.132,0.548
7,368.5908524,24.61859271,63.72930622,2.382522806,7.36,1.82,9.18,2.41,4.03,3.81,1.644,0.287,1.357,0.652,2.659,0.425,0.241,0.825,17.5,12.7,7.814,5.214,6.509,0.558
7,420.0231903,24.61686628,62.37748014,2.385743759,6.41,1.67,8.08,2.16,3.85,3.74,1.584,0.268,1.316,0.666,3.182,0.503,0.265,0.831,17.1,13.1,8.01,5.119,7.278,0.573
7,387.4578618,24.61162278,65.46040948,2.377236419,7.28,2.07,9.35,2.62,3.51,3.57,1.728,0.309,1.419,0.614,2.024,0.306,0.206,0.821,14.9,11.6,7.992,5.104,7.132,0.548
7,449.7789076,24.61312969,65.64768569,2.376950502,5.53,1.78,7.3,2.04,3.11,3.59,1.817,0.31,1.508,0.664,2.11,0.324,0.201,0.83,17.5,12.7,7.814,5.214,6.509,0.558
7,463.6188177,24.60192167,68.36220128,2.368632683,5.44,1.61,7.05,2.08,3.37,3.39,1.841,0.31,1.53,0.67,2.087,0.32,0.198,0.831,17.1,13.1,8.01,5.119,7.278,0.573
7,429.5587385,24.00170537,66.72936963,2.298091865,7.36,1.82,9.18,2.41,4.03,3.81,1.644,0.287,1.357,0.652,2.659,0.425,0.241,0.825,14.9,11.6,7.992,5.104,7.132,0.548
7,388.5507514,24.60305184,65.71397823,2.375508403,6.41,1.67,8.08,2.16,3.85,3.74,1.584,0.268,1.316,0.666,3.182,0.503,0.265,0.831,17.5,12.7,7.814,5.214,6.509,0.558
7,410.4254858,24.60834191,68.51616615,2.369049965,7.28,2.07,9.35,2.62,3.51,3.57,1.728,0.309,1.419,0.614,2.024,0.306,0.206,0.821,17.1,13.1,8.01,5.119,7.278,0.573
7,446.7743229,24.61705444,65.09731681,2.378847043,5.53,1.78,7.3,2.04,3.11,3.59,1.817,0.31,1.508,0.664,2.11,0.324,0.201,0.83,14.9,11.6,7.992,5.104,7.132,0.548
7,403.8420951,24.61862385,66.03529875,2.376658695,5.44,1.61,7.05,2.08,3.37,3.39,1.841,0.31,1.53,0.67,2.087,0.32,0.198,0.831,17.5,12.7,7.814,5.214,6.509,0.558
7,419.8015382,24.61074354,66.24469288,2.375130342,7.36,1.82,9.18,2.41,4.03,3.81,1.644,0.287,1.357,0.652,2.659,0.425,0.241,0.825,17.1,13.1,8.01,5.119,7.278,0.573
7,421.0636542,24.63171635,67.23408583,2.375261153,6.41,1.67,8.08,2.16,3.85,3.74,1.584,0.268,1.316,0.666,3.182,0.503,0.265,0.831,14.9,11.6,7.992,5.104,7.132,0.548
7,431.3818885,24.61721128,64.23162358,2.381069646,7.28,2.07,9.35,2.62,3.51,3.57,1.728,0.309,1.419,0.614,2.024,0.306,0.206,0.821,17.5,12.7,7.814,5.214,6.509,0.558
7,442.4250604,24.61188976,64.72657892,2.379136879,5.53,1.78,7.3,2.04,3.11,3.59,1.817,0.31,1.508,0.664,2.11,0.324,0.201,0.83,17.1,13.1,8.01,5.119,7.278,0.573
7,431.2016774,24.60473132,66.70589799,2.373198311,5.44,1.61,7.05,2.08,3.37,3.39,1.841,0.31,1.53,0.67,2.087,0.32,0.198,0.831,14.9,11.6,7.992,5.104,7.132,0.548
7,454.5579809,24.61038292,65.1383826,2.377898787,7.36,1.82,9.18,2.41,4.03,3.81,1.644,0.287,1.357,0.652,2.659,0.425,0.241,0.825,17.5,12.7,7.814,5.214,6.509,0.558
7,452.4101861,24.6202566,66.48509115,2.375720364,6.41,1.67,8.08,2.16,3.85,3.74,1.584,0.268,1.316,0.666,3.182,0.503,0.265,0.831,17.1,13.1,8.01,5.119,7.278,0.573
7,455.5055066,24.61964417,65.69923785,2.377642866,7.28,2.07,9.35,2.62,3.51,3.57,1.728,0.309,1.419,0.614,2.024,0.306,0.206,0.821,14.9,11.6,7.992,5.104,7.132,0.548
7,461.7579847,24.64402372,63.2171616,2.387051626,5.53,1.78,7.3,2.04,3.11,3.59,1.817,0.31,1.508,0.664,2.11,0.324,0.201,0.83,17.5,12.7,7.814,5.214,6.509,0.558
7,462.9193163,24.67502708,62.57304455,2.392633135,5.44,1.61,7.05,2.08,3.37,3.39,1.841,0.31,1.53,0.67,2.087,0.32,0.198,0.831,17.1,13.1,8.01,5.119,7.278,0.573
7,457.5308497,24.62391444,66.1633466,2.377001468,7.36,1.82,9.18,2.41,4.03,3.81,1.644,0.287,1.357,0.652,2.659,0.425,0.241,0.825,14.9,11.6,7.992,5.104,7.132,0.548
7,470.6131826,24.64231253,64.27466722,2.384140042,6.41,1.67,8.08,2.16,3.85,3.74,1.584,0.268,1.316,0.666,3.182,0.503,0.265,0.831,17.5,12.7,7.814,5.214,6.509,0.558
7,489.9454816,24.66038142,62.3009209,2.391465127,7.28,2.07,9.35,2.62,3.51,3.57,1.728,0.309,1.419,0.614,2.024,0.306,0.206,0.821,17.1,13.1,8.01,5.119,7.278,0.573
7,489.7464337,24.62830969,67.35894719,2.374513045,5.53,1.78,7.3,2.04,3.11,3.59,1.817,0.31,1.508,0.664,2.11,0.324,0.201,0.83,14.9,11.6,7.992,5.104,7.132,0.548
8,479.4573872,24.65808882,68.15594618,2.376243109,8.83,2.11,10.94,2.69,4.17,4.06,1.916,0.367,1.549,0.689,1.764,0.246,0.188,0.808,10.7,10.9,7.013,4.662,2.129,0.477
8,467.9052913,24.6494234,69.56858615,2.371548041,7.46,1.85,9.31,2.48,4.03,3.75,1.908,0.354,1.554,0.657,1.684,0.226,0.18,0.814,10.1,10.8,7.03,4.646,2.119,0.487
8,474.6503719,24.65929771,68.09251073,2.376557599,4.99,3.75,8.74,2.05,1.33,4.27,1.975,0.371,1.604,0.738,1.866,0.271,0.189,0.812,9.9,11.1,6.977,4.457,2.129,0.482
8,476.5670878,24.63320767,69.27583538,2.370249837,5.81,1.54,7.35,1.8,3.77,4.08,1.728,0.307,1.421,0.665,2.356,0.372,0.223,0.822,10.7,10.9,7.013,4.662,2.129,0.477
8,466.1361378,24.63013069,69.75815368,2.368633977,8.4,1.81,10.21,2.68,4.64,3.82,1.95,0.369,1.58,0.68,1.657,0.219,0.179,0.811,10.1,10.8,7.03,4.646,2.119,0.487
8,455.9745604,24.64603323,65.09285851,2.382526623,8.83,2.11,10.94,2.69,4.17,4.06,1.916,0.367,1.549,0.689,1.764,0.246,0.188,0.808,9.9,11.1,6.977,4.457,2.129,0.482
8,458.354676,24.61849861,65.46996958,2.37808145,7.46,1.85,9.31,2.48,4.03,3.75,1.908,0.354,1.554,0.657,1.684,0.226,0.18,0.814,10.7,10.9,7.013,4.662,2.129,0.477
8,441.0028292,24.60973934,63.26786569,2.382575059,4.99,3.75,8.74,2.05,1.33,4.27,1.975,0.371,1.604,0.738,1.866,0.271,0.189,0.812,10.1,10.8,7.03,4.646,2.119,0.487
8,431.9580038,24.6044017,63.27066007,2.381891747,5.81,1.54,7.35,1.8,3.77,4.08,1.728,0.307,1.421,0.665,2.356,0.372,0.223,0.822,9.9,11.1,6.977,4.457,2.129,0.482
8,449.038908,24.61724302,62.72467104,2.384908123,8.4,1.81,10.21,2.68,4.64,3.82,1.95,0.369,1.58,0.68,1.657,0.219,0.179,0.811,10.7,10.9,7.013,4.662,2.129,0.477
8,451.4642347,24.60506142,63.94152628,2.380269394,8.83,2.11,10.94,2.69,4.17,4.06,1.916,0.367,1.549,0.689,1.764,0.246,0.188,0.808,10.1,10.8,7.03,4.646,2.119,0.487
8,477.5610802,24.64476181,62.67853451,2.388517849,7.46,1.85,9.31,2.48,4.03,3.75,1.908,0.354,1.554,0.657,1.684,0.226,0.18,0.814,9.9,11.1,6.977,4.457,2.129,0.482
8,500.4520944,24.61130917,62.2286008,2.385417554,4.99,3.75,8.74,2.05,1.33,4.27,1.975,0.371,1.604,0.738,1.866,0.271,0.189,0.812,10.7,10.9,7.013,4.662,2.129,0.477
8,474.5791042,24.61548438,64.19339934,2.380948254,5.81,1.54,7.35,1.8,3.77,4.08,1.728,0.307,1.421,0.665,2.356,0.372,0.223,0.822,10.1,10.8,7.03,4.646,2.119,0.487
8,487.7185736,24.62316115,62.00137351,2.38749978,8.4,1.81,10.21,2.68,4.64,3.82,1.95,0.369,1.58,0.68,1.657,0.219,0.179,0.811,9.9,11.1,6.977,4.457,2.129,0.482
8,479.7861042,24.62593934,65.1344425,2.379876683,8.83,2.11,10.94,2.69,4.17,4.06,1.916,0.367,1.549,0.689,1.764,0.246,0.188,0.808,10.7,10.9,7.013,4.662,2.129,0.477
8,491.8782108,24.624935,64.14472007,2.382268983,7.46,1.85,9.31,2.48,4.03,3.75,1.908,0.354,1.554,0.657,1.684,0.226,0.18,0.814,10.1,10.8,7.03,4.646,2.119,0.487
8,494.6426073,24.6206024,61.93696472,2.387338877,4.99,3.75,8.74,2.05,1.33,4.27,1.975,0.371,1.604,0.738,1.866,0.271,0.189,0.812,9.9,11.1,6.977,4.457,2.129,0.482
8,483.0161063,24.63995771,65.5358066,2.380628704,5.81,1.54,7.35,1.8,3.77,4.08,1.728,0.307,1.421,0.665,2.356,0.372,0.223,0.822,10.7,10.9,7.013,4.662,2.129,0.477
8,441.5902469,24.59772976,68.07417583,2.368836815,8.4,1.81,10.21,2.68,4.64,3.82,1.95,0.369,1.58,0.68,1.657,0.219,0.179,0.811,10.1,10.8,7.03,4.646,2.119,0.487
8,457.7669465,24.61135601,68.23286569,2.370150355,8.83,2.11,10.94,2.69,4.17,4.06,1.916,0.367,1.549,0.689,1.764,0.246,0.188,0.808,9.9,11.1,6.977,4.457,2.129,0.482
8,477.5422403,24.61691319,64.87437465,2.379396444,7.46,1.85,9.31,2.48,4.03,3.75,1.908,0.354,1.554,0.657,1.684,0.226,0.18,0.814,10.7,10.9,7.013,4.662,2.129,0.477
8,471.4928896,24.60033628,62.37215837,2.383661022,4.99,3.75,8.74,2.05,1.33,4.27,1.975,0.371,1.604,0.738,1.866,0.271,0.189,0.812,10.1,10.8,7.03,4.646,2.119,0.487
8,478.7748403,24.60294174,63.82587969,2.38029513,5.81,1.54,7.35,1.8,3.77,4.08,1.728,0.307,1.421,0.665,2.356,0.372,0.223,0.822,9.9,11.1,6.977,4.457,2.129,0.482
8,488.5025302,24.6361742,63.1117341,2.38632415,8.4,1.81,10.21,2.68,4.64,3.82,1.95,0.369,1.58,0.68,1.657,0.219,0.179,0.811,10.7,10.9,7.013,4.662,2.129,0.477
8,499.9598073,24.61735267,63.67153757,2.382512702,8.83,2.11,10.94,2.69,4.17,4.06,1.916,0.367,1.549,0.689,1.764,0.246,0.188,0.808,10.1,10.8,7.03,4.646,2.119,0.487
8,461.9199872,24.59683507,65.77058479,2.37457926,7.46,1.85,9.31,2.48,4.03,3.75,1.908,0.354,1.554,0.657,1.684,0.226,0.18,0.814,9.9,11.1,6.977,4.457,2.129,0.482
8,471.7082719,24.59096413,63.50322479,2.379599199,4.99,3.75,8.74,2.05,1.33,4.27,1.975,0.371,1.604,0.738,1.866,0.271,0.189,0.812,10.7,10.9,7.013,4.662,2.129,0.477
8,476.4659941,24.61666181,64.51957052,2.380267412,5.81,1.54,7.35,1.8,3.77,4.08,1.728,0.307,1.421,0.665,2.356,0.372,0.223,0.822,10.1,10.8,7.03,4.646,2.119,0.487
8,499.657159,24.47971309,63.39856639,2.36581999,8.4,1.81,10.21,2.68,4.64,3.82,1.95,0.369,1.58,0.68,1.657,0.219,0.179,0.811,9.9,11.1,6.977,4.457,2.129,0.482
8,488.1399094,23.29770767,63.6881308,2.22032232,8.83,2.11,10.94,2.69,4.17,4.06,1.916,0.367,1.549,0.689,1.764,0.246,0.188,0.808,10.7,10.9,7.013,4.662,2.129,0.477
9,476.3441795,23.32174101,66.77460788,2.215858245,6.04,1.48,7.51,1.82,4.08,4.12,3.077,0.681,2.396,1.09,0.955,-0.02,0.089,0.779,8.7,15.45,6.71,5.167,1.204,0.442
9,500.8514517,23.30359451,67.83368323,2.211190004,7.1,1.52,8.62,1.98,4.66,4.36,2.411,0.523,1.888,0.659,0.802,-0.096,0.113,0.783,8.7,15.2,6.247,4.962,1.209,0.442
9,497.7938115,23.32597948,64.51093674,2.22173819,6.8,1.48,8.28,2.11,4.59,3.93,2.63,0.643,1.987,0.849,0.876,-0.058,0.123,0.756,8.7,15.7,6.657,5.009,1.199,0.432
9,490.9956743,23.34627649,63.64354851,2.226220463,6.4,1.54,7.94,1.98,4.16,4.01,2.651,0.668,1.983,0.696,0.605,-0.218,0.099,0.748,8.7,15.45,6.71,5.167,1.204,0.442
9,491.5347368,23.29193094,66.66888243,2.212568072,7.22,1.77,8.98,1.97,4.09,4.56,2.746,0.604,2.142,0.685,0.607,-0.217,0.091,0.78,8.7,15.2,6.247,4.962,1.209,0.442
9,469.1124608,23.32883625,66.96291969,2.21625444,6.04,1.48,7.51,1.82,4.08,4.12,3.077,0.681,2.396,1.09,0.955,-0.02,0.089,0.779,8.7,15.7,6.657,5.009,1.199,0.432
9,454.100542,23.31831858,66.91772549,2.215111724,7.1,1.52,8.62,1.98,4.66,4.36,2.411,0.523,1.888,0.659,0.802,-0.096,0.113,0.783,8.7,15.45,6.71,5.167,1.204,0.442
9,464.8244201,23.30375132,67.90079243,2.211049415,6.8,1.48,8.28,2.11,4.59,3.93,2.63,0.643,1.987,0.849,0.876,-0.058,0.123,0.756,8.7,15.2,6.247,4.962,1.209,0.442
9,458.6887309,23.31739295,64.75240205,2.220141902,6.4,1.54,7.94,1.98,4.16,4.01,2.651,0.668,1.983,0.696,0.605,-0.218,0.099,0.748,8.7,15.7,6.657,5.009,1.199,0.432
9,489.5282299,23.28029865,63.25375326,2.21927849,7.22,1.77,8.98,1.97,4.09,4.56,2.746,0.604,2.142,0.685,0.607,-0.217,0.091,0.78,8.7,15.45,6.71,5.167,1.204,0.442
9,458.4240611,23.29864906,65.53867931,2.216045944,6.04,1.48,7.51,1.82,4.08,4.12,3.077,0.681,2.396,1.09,0.955,-0.02,0.089,0.779,8.7,15.2,6.247,4.962,1.209,0.442
9,453.2340142,23.29356337,67.21622174,2.21146422,7.1,1.52,8.62,1.98,4.66,4.36,2.411,0.523,1.888,0.659,0.802,-0.096,0.113,0.783,8.7,15.7,6.657,5.009,1.199,0.432
9,470.4587184,23.29814691,69.1335808,2.207461276,6.8,1.48,8.28,2.11,4.59,3.93,2.63,0.643,1.987,0.849,0.876,-0.058,0.123,0.756,8.7,15.45,6.71,5.167,1.204,0.442
9,462.6587361,23.29874372,66.91392684,2.212795824,6.4,1.54,7.94,1.98,4.16,4.01,2.651,0.668,1.983,0.696,0.605,-0.218,0.099,0.748,8.7,15.2,6.247,4.962,1.209,0.442
9,465.8978451,23.3010359,64.49790757,2.218798206,7.22,1.77,8.98,1.97,4.09,4.56,2.746,0.604,2.142,0.685,0.607,-0.217,0.091,0.78,8.7,15.7,6.657,5.009,1.199,0.432
9,461.7561017,23.29838295,63.86206347,2.219990291,6.04,1.48,7.51,1.82,4.08,4.12,3.077,0.681,2.396,1.09,0.955,-0.02,0.089,0.779,8.7,15.45,6.71,5.167,1.204,0.442
9,464.6473483,23.29489771,65.35922073,2.216025477,7.1,1.52,8.62,1.98,4.66,4.36,2.411,0.523,1.888,0.659,0.802,-0.096,0.113,0.783,8.7,15.2,6.247,4.962,1.209,0.442
9,466.8560444,23.30393962,64.72268597,2.218610671,6.8,1.48,8.28,2.11,4.59,3.93,2.63,0.643,1.987,0.849,0.876,-0.058,0.123,0.756,8.7,15.7,6.657,5.009,1.199,0.432
9,440.9739455,23.30527361,64.44652802,2.219424585,6.4,1.54,7.94,1.98,4.16,4.01,2.651,0.668,1.983,0.696,0.605,-0.218,0.099,0.748,8.7,15.45,6.71,5.167,1.204,0.442
9,448.6320153,23.29902628,64.17782701,2.219318076,7.22,1.77,8.98,1.97,4.09,4.56,2.746,0.604,2.142,0.685,0.607,-0.217,0.091,0.78,8.7,15.2,6.247,4.962,1.209,0.442
9,433.1808722,23.29434851,61.74187104,2.224536635,6.04,1.48,7.51,1.82,4.08,4.12,3.077,0.681,2.396,1.09,0.955,-0.02,0.089,0.779,8.7,15.7,6.657,5.009,1.199,0.432
9,431.3552014,23.29954403,61.29163934,2.226224555,7.1,1.52,8.62,1.98,4.66,4.36,2.411,0.523,1.888,0.659,0.802,-0.096,0.113,0.783,8.7,15.45,6.71,5.167,1.204,0.442
