date,weekday,weekday_name,is_holiday,holiday_name,avg_temp_c,min_temp_c,max_temp_c
2025-05-18,6,일,1,일요일,16.2,12,22.5
2025-05-19,0,월,0,,18.8,10.8,23.7
2025-05-20,1,화,0,,25.4,20,31.5
2025-05-21,2,수,0,,25.5,20.9,29.8
2025-05-22,3,목,0,,21.2,18.1,23.9
2025-05-23,4,금,0,,19.9,17.2,24.5
2025-05-24,5,토,1,토요일,16,13.6,18.9
2025-05-25,6,일,1,일요일,17.8,11.2,24.9
2025-05-26,0,월,0,,19.7,12,26.9
2025-05-27,1,화,0,,20.5,12.9,27
2025-05-28,2,수,0,,20.7,14,27.6
2025-05-29,3,목,0,,20.6,13.9,28
2025-05-30,4,금,0,,20.4,14.1,26.8
2025-05-31,5,토,1,토요일,20.4,13.3,26.1
2025-06-01,6,일,1,일요일,22.4,14.9,29.8
2025-06-02,0,월,0,,20.4,18.1,24.4
2025-06-03,1,화,1,임시공휴일(대통령선거),21.1,16.5,27.3
2025-06-04,2,수,0,,20.8,15.5,27.8
2025-06-05,3,목,0,,21.2,13.1,27.8
2025-06-06,4,금,1,현충일,23.7,18.1,30.1
2025-06-07,5,토,1,토요일,24.3,16.4,31
2025-06-08,6,일,1,일요일,25.5,21.5,31.5
2025-06-09,0,월,0,,25.5,20.3,31.9
2025-06-10,1,화,0,,23.6,19,29.6
2025-06-11,2,수,0,,23.1,16.2,30.5
2025-06-12,3,목,0,,25.1,17.5,32.6
2025-06-13,4,금,0,,21.3,18.8,26.2
2025-06-14,5,토,1,토요일,23.8,19.5,29.6
2025-06-15,6,일,1,일요일,26.3,20.9,32.9
2025-06-16,0,월,0,,24.2,21.8,27.2
2025-06-17,1,화,0,,25,20.3,30
2025-06-18,2,수,0,,25.8,20.7,31.5
2025-06-19,3,목,0,,27.2,19.9,32.5
2025-06-20,4,금,0,,24.9,22.7,27.6
2025-06-21,5,토,1,토요일,21.1,17.9,23.6
2025-06-22,6,일,1,일요일,23.3,17.8,29
2025-06-23,0,월,0,,25.1,17.3,31.4
2025-06-24,1,화,0,,21.9,19,27.7
2025-06-25,2,수,0,,21.2,19.4,22.7
2025-06-26,3,목,0,,22.9,20,27
2025-06-27,4,금,0,,25.3,20.6,30.8
2025-06-28,5,토,1,토요일,27.5,23.6,32.8
2025-06-29,6,일,1,일요일,28.7,25.2,33.4
2025-06-30,0,월,0,,29.1,23.8,33.8
2025-07-01,1,화,0,,29,25.4,33.7
2025-07-02,2,수,0,,29.4,25,34.2
2025-07-03,3,목,0,,28.6,25.3,32.6
2025-07-04,4,금,0,,27.9,24.6,31.4
2025-07-05,5,토,1,토요일,28.6,24.8,33.1
2025-07-06,6,일,1,일요일,29,25.6,33.6
2025-07-07,0,월,0,,30,26.5,35.1
2025-07-08,1,화,0,,31.4,26.6,36.3
2025-07-09,2,수,0,,31,26.7,35.5
2025-07-10,3,목,0,,29.8,24.6,34.5
2025-07-11,4,금,0,,29,24.3,34.5
2025-07-12,5,토,1,토요일,28.6,22.7,34.1
2025-07-13,6,일,1,일요일,25.3,21.5,30.4
2025-07-14,0,월,0,,23.4,20.3,31
2025-07-15,1,화,0,,22.9,20.3,25.5
2025-07-16,2,수,0,,22.6,21.4,24.5
2025-07-17,3,목,0,,22,21.3,22.9
2025-07-18,4,금,0,,24.3,21.1,28.5
2025-07-19,5,토,1,토요일,24.6,22.8,28
2025-07-20,6,일,1,일요일,27.9,22.7,32.8
2025-07-21,0,월,0,,28.4,23.9,33.7
2025-07-22,1,화,0,,28.6,24.5,34.2
2025-07-23,2,수,0,,28.9,24.3,33.8
2025-07-24,3,목,0,,29.9,24.9,35.1
2025-07-25,4,금,0,,30.4,24.9,35.8
2025-07-26,5,토,1,토요일,30.6,24.9,35.3
2025-07-27,6,일,1,일요일,31.6,26.6,36
2025-07-28,0,월,0,,30.9,27.1,36.1
2025-07-29,1,화,0,,31.2,25.7,36.7
2025-07-30,2,수,0,,30.9,26.1,35.9
2025-07-31,3,목,0,,29.9,26.4,34.7
2025-08-01,4,금,0,,30.4,25.1,35.8
2025-08-02,5,토,1,토요일,31.2,26.2,35.8
2025-08-03,6,일,1,일요일,27.4,22.3,31.3
2025-08-04,0,월,0,,28.4,23.4,33.3
2025-08-05,1,화,0,,29.3,24.7,33.8
2025-08-06,2,수,0,,28,26.1,31.1
2025-08-07,3,목,0,,27.5,23.9,32.6
2025-08-08,4,금,0,,26.1,22.4,30.8
2025-08-09,5,토,1,토요일,24.3,23.1,26.3
2025-08-10,6,일,1,일요일,26.2,21.4,32
2025-08-11,0,월,0,,24.3,21.8,28.2
2025-08-12,1,화,0,,24.3,20.4,29.5
2025-08-13,2,수,0,,26.8,23.3,31.9
2025-08-14,3,목,0,,28.5,25.7,31.8
2025-08-15,4,금,1,광복절,28.9,25.4,33.7
2025-08-16,5,토,1,토요일,28.6,25.2,33.6
2025-08-17,6,일,1,일요일,28.2,23.3,33.5
2025-08-18,0,월,0,,29.2,25.4,33.8
2025-08-19,1,화,0,,29,25.7,33.5
2025-08-20,2,수,0,,29.5,25.3,34.5
2025-08-21,3,목,0,,29.9,25.8,35
2025-08-22,4,금,0,,29.8,25.9,35
2025-08-23,5,토,1,토요일,29.2,24.1,34.1
2025-08-24,6,일,1,일요일,30.6,26.9,35.9
2025-08-25,0,월,0,,30.3,26.8,35.3
2025-08-26,1,화,0,,26.2,23.9,29.3
2025-08-27,2,수,0,,26.9,23,32.5
2025-08-28,3,목,0,,28.1,23.3,33.2
2025-08-29,4,금,0,,29.3,25.9,33.8
2025-08-30,5,토,1,토요일,29.4,25.9,34.6
2025-08-31,6,일,1,일요일,27.9,25,33.5
